song_id,playlist
Landslide Fleetwood Mac,70s & 80s Acoustic
Lean on Me Bill Withers,70s & 80s Acoustic
Hotel California - Remastered Eagles,70s & 80s Acoustic
Fast Car Tracy Chapman,70s & 80s Acoustic
You're So Vain Carly Simon,70s & 80s Acoustic
Dust in the Wind Kansas,70s & 80s Acoustic
Ooh La La Faces,70s & 80s Acoustic
You've Got A Friend James Taylor,70s & 80s Acoustic
Redemption Song Bob Marley & The Wailers,70s & 80s Acoustic
Crazy Love Van Morrison,70s & 80s Acoustic
I'm on Fire Bruce Springsteen,70s & 80s Acoustic
Heart Of Gold Neil Young,70s & 80s Acoustic
Wildflowers - Remastered Dolly Parton,70s & 80s Acoustic
"Rocket Man (I Think It's Going To Be A Long, Long Time) Elton John",70s & 80s Acoustic
In The Air Tonight - 2015 Remastered Phil Collins,70s & 80s Acoustic
Wicked Game - Remastered Chris Isaak,70s & 80s Acoustic
Hallelujah Leonard Cohen,70s & 80s Acoustic
My Sweet Lord George Harrison,70s & 80s Acoustic
A Horse with No Name America,70s & 80s Acoustic
Jolene Dolly Parton,70s & 80s Acoustic
Let It Be - Remastered 2009 The Beatles,70s & 80s Acoustic
Maggie May Rod Stewart,70s & 80s Acoustic
Me and Julio Down by the Schoolyard Paul Simon,70s & 80s Acoustic
Where You Lead Carole King,70s & 80s Acoustic
Me and Bobby McGee Janis Joplin,70s & 80s Acoustic
If You Could Read My Mind Gordon Lightfoot,70s & 80s Acoustic
Pink Moon Nick Drake,70s & 80s Acoustic
Walkin' Back to Georgia Jim Croce,70s & 80s Acoustic
Going To California Led Zeppelin,70s & 80s Acoustic
"My My, Hey Hey (Out of the Blue) Neil Young",70s & 80s Acoustic
I Walk the Line Johnny Cash,70s & 80s Acoustic
Across The Universe - Remastered 2009 The Beatles,70s & 80s Acoustic
Wild World Yusuf / Cat Stevens,70s & 80s Acoustic
California Joni Mitchell,70s & 80s Acoustic
"Dreams (Sessions, Roughs & Outtakes) - 2004 Remastered Edition Fleetwood Mac",70s & 80s Acoustic
Tangled up in Blue Bob Dylan,70s & 80s Acoustic
Imagine - Remastered 2010 John Lennon,70s & 80s Acoustic
Maybe I’m Amazed - Remastered 2011 Paul McCartney,70s & 80s Acoustic
Tom's Diner Suzanne Vega,70s & 80s Acoustic
Easy Commodores,70s & 80s Acoustic
Up Where We Belong Joe Cocker,70s & 80s Acoustic
Life On Mars? - 2015 Remastered Version David Bowie,70s & 80s Acoustic
Personal Jesus - Acoustic Version Depeche Mode,70s & 80s Acoustic
Wuthering Heights Kate Bush,70s & 80s Acoustic
Stuck In The Middle With You - Remastered Stealers Wheel,70s & 80s Acoustic
"Just The Two Of Us (feat. Bill Withers) Grover Washington, Jr.",70s & 80s Acoustic
(You Make Me Feel Like) A Natural Woman Carole King,70s & 80s Acoustic
Cecilia Simon & Garfunkel,70s & 80s Acoustic
"Our House Crosby, Stills, Nash & Young",70s & 80s Acoustic
And It Stoned Me Van Morrison,70s & 80s Acoustic
Famous Blue Raincoat Leonard Cohen,70s & 80s Acoustic
All Things Must Pass George Harrison,70s & 80s Acoustic
Stand By Me - Remastered John Lennon,70s & 80s Acoustic
"Baby, I Love Your Way Peter Frampton",70s & 80s Acoustic
Solsbury Hill Peter Gabriel,70s & 80s Acoustic
Boulder To Birmingham - Remastered Emmylou Harris,70s & 80s Acoustic
Something On Your Mind Karen Dalton,70s & 80s Acoustic
You're The Inspiration - 2006 Remastered Version Chicago,70s & 80s Acoustic
Ripple Grateful Dead,70s & 80s Acoustic
You Are So Beautiful Joe Cocker,70s & 80s Acoustic
Blue Bayou Linda Ronstadt,70s & 80s Acoustic
Bohemian Rhapsody - Remastered 2011 Queen,70s Rock Anthems
Stairway To Heaven Led Zeppelin,70s Rock Anthems
Hotel California - Remastered Eagles,70s Rock Anthems
London Calling - Remastered The Clash,70s Rock Anthems
Riders On The Storm The Doors,70s Rock Anthems
Rock And Roll All Nite KISS,70s Rock Anthems
Who Are You The Who,70s Rock Anthems
