song_id,song_name,artist_name,song_single,song_released,song_genre,song_label,song_songwriter,song_producer
"Now, I See Barnes Blvd.","Now, I See",Barnes Blvd.,NA,NA,NA,NA,NA,NA
"Hold on, Pt. 2 Ok2222","Hold on, Pt. 2",Ok2222,1,2013,other,astralwerks,"miriam nervo, olivia nervo, fadil el ghoul, f. lenssen","nervo, r3hab"
dreary Gnavis,dreary,Gnavis,NA,NA,"rock,pop,elect",republic,NA,"taylor swift,jack antonoff,joel little,louis bell,frank dukes"
memories of u Drrreems,memories of u,Drrreems,0,1975,country,epic,NA,billy sherrill
Driftwood Fujitsu,Driftwood,Fujitsu,0,2002,rock,deltasonic,NA,"ian broudie, zion egg "
Louie's Lullaby Harris Cole,Louie's Lullaby,Harris Cole,0,2008,"pop,r&b","imani,geffen,interscope",NA,"keyshia cole ,manny halley ,ron fair ,polow da don,the runners,the outsyders,kwam�,orthodox & ransom,carvin & ivan,toxic,tank,jason t. miller,theron ""neffu"" feemster,reo,the are,poke & tone,spandor"
Wretched Shrimpnose,Wretched,Shrimpnose,0,2016,pop,"pias, mom + pop, dine alone",NA,"lucius, shawn everett, and bob ezrin"
No I'm Not Imfinenow,No I'm Not,Imfinenow,0,2006,pop,laface,NA,"pink ,josh abraham,al clay,dr. luke,mike elizondo,greg kurstin,billy mann,machopsycho,max martin,chris rojas,butch walker"
emerald Kupla,emerald,Kupla,NA,NA,NA,NA,NA,NA
Frostthrone Mishaal,Frostthrone,Mishaal,0,2009,"rock,metal",ferret music,NA,jason elgin
We Are Safe Here. fantompower,We Are Safe Here.,fantompower,0,1969,jazz,a&m/ctisp 3015,NA,creed taylor
same stars fcj,same stars,fcj,NA,NA,NA,NA,NA,NA
Distant W00ds,Distant,W00ds,0,2007,"pop,elect",virgin,NA,"tracey thorn,ewan pearson,cagedbaby,charles webster,martin wheeler,alex santos"
talk it out Rob Smyles,talk it out,Rob Smyles,1,2020,rap,relentless,NA,"169,5ive beatz,adp,al hug,ambezza,benjamin lasnier,eyes,fred again,geno,gottionem,io,jaiah,jennejenne,kenny beats,kyle stemberger,lasse qvist,lukasbl,m1onthebeat,madara beatz,mokuba lives,nyge,producerboy,quincytellem,rob smyles,toddla t,tsb,wondagurl"
cold door handles Idealism,cold door handles,Idealism,0,1995,"pop,r&b","rca,bmg",NA,"gary barlow,brothers in rhythm,chris porter,david morales,dave james"
making her smile Equity Slate,making her smile,Equity Slate,NA,NA,"alt,rock,pop,folk",republic,NA,"aaron dessner,taylor swift,bryce dessner,jack antonoff"
Blue (feat. Drwn.) Philanthrope,Blue (feat. Drwn.),Philanthrope,0,2009,"hip,hop",universal,NA,NA
Situation - 2008 Remastered Version Yazoo,Situation - 2008 Remastered Version,Yazoo,0,2008,"pop,elect","mute � yazbox 1,sire",NA,e.c. radcliffeyazoo
Blue Monday '88 New Order,Blue Monday '88,New Order,1,1983,other,"factory ,tonpress ","gillian gilbert,peter hook,stephen morris,bernard sumner,gillian gilbert,peter hook,stephen morris,bernard sumner","new order,quincy jones"
Our Darkness Anne Clark,Our Darkness,Anne Clark,NA,NA,elect,"red flame virgin/emi sony bmg spv 
netmusiczone ",NA,NA
Everything Counts Depeche Mode,Everything Counts,Depeche Mode,1,1983,pop,mute,martin gore,"depeche mode, daniel miller, and gareth jones"
Cities In Dust - Single Version Siouxsie and the Banshees,Cities In Dust - Single Version,Siouxsie and the Banshees,1,1985,"rock,pop",polydorgeffen ,"susan ballion,peter edward clarke,steven severin",siouxsie and the banshees
All Lined Up Shriekback,All Lined Up,Shriekback,0,1985,"rock,pop",island,NA,barry andrews
Here Comes the Rain Again - Remastered Version Eurythmics,Here Comes the Rain Again - Remastered Version,Eurythmics,1,1984,pop,rca,"annie lennox,david a. stewart",david a. stewart
Seven Into the Sea In Tua Nua,Seven Into the Sea,In Tua Nua,NA,NA,"alt,rock,folk","mother, island records, virgin records",NA,NA
Under The Milky Way The Church,Under The Milky Way,The Church,1,1988,"alt,rock,pop,elect","mushroom,arista","steve kilbey,karin jansson","greg ladanyi,waddy wachtel,the church"
Winning The Sound,Winning,The Sound,0,1981,punk,korova,NA,"the sound,hugh jones"
Change Tears For Fears,Change,Tears For Fears,1,1983,"rock,pop","phonogram,mercury",roland orzabal,"chris hughes,ross cullum"
Headhunter V1.0 Front 242,Headhunter V1.0,Front 242,1,1988,other,red rhino europewax trax! animalized,NA,NA
Theme For Great Cities Simple Minds,Theme For Great Cities,Simple Minds,0,1981,rock,stiff records,NA,steve hillage
Suedehead - 2011 Remastered Version Morrissey,Suedehead - 2011 Remastered Version,Morrissey,1,1988,pop,hmv ,"morrissey,stephen street",stephen street
Los Niños Del Parque Liaisons Dangereuses,Los Niños Del Parque,Liaisons Dangereuses,NA,NA,other,NA,NA,NA
People Are People Depeche Mode,People Are People,Depeche Mode,1,1984,pop,mute,martin gore,"depeche mode,daniel miller,gareth jones,rupaul,tom trujillo"
Love Like Blood Killing Joke,Love Like Blood,Killing Joke,1,1985,rock,"e.g.,polydor","jaz coleman,paul ferguson,paul raven,kevin walker,jaz coleman,paul ferguson,paul raven,kevin walker","killing joke,chris kimsey"
Uncertain Smile The The,Uncertain Smile,The The,1,1983,"punk,pop",some bizzare/epic,NA,"paul hardiman,matt johnson"
The Lebanon The Human League,The Lebanon,The Human League,1,1984,"rock,pop",virgin,philip oakey and jo callis,chris thomas and hugh padgham
Being Boiled - Fast Version / 2003 Digital Remaster The Human League,Being Boiled - Fast Version / 2003 Digital Remaster,The Human League,1,1980,"pop,elect","fast product , virgin ","philip oakey, martyn ware, ian craig marsh",the human league
Seven Seas Echo & the Bunnymen,Seven Seas,Echo & the Bunnymen,1,1984,"alt,rock,punk,pop",korova wea ,"will sergeant, ian mcculloch, les pattinson, pete de freitas",the bunnymen
Nellie The Elephant Toy Dolls,Nellie The Elephant,Toy Dolls,NA,NA,"rock,punk",secret records,NA,NA
Are 'Friends' Electric? Gary Numan / Tubeway Army,Are 'Friends' Electric?,Gary Numan / Tubeway Army,1,1979,pop,beggars banquet ,gary numan,gary numan
This Charming Man - 2008 Remastered Version The Smiths,This Charming Man - 2008 Remastered Version,The Smiths,1,1983,"rock,pop",rough trade,"johnny marr,morrissey",john porter
A Day Clan of Xymox,A Day,Clan of Xymox,0,1985,"rock,punk",4ad,NA,clan of xymox and ivo watts-russell
Alice Sisters of Mercy,Alice,Sisters of Mercy,1,1982,"rock,punk","merciful release,brain eater",NA,john ashton
Rain The Cult,Rain,The Cult,1,1985,rock,beggars banquet,ian astburybilly duffy,steve brown
Living In Another World - 1997 Remastered Version Talk Talk,Living In Another World - 1997 Remastered Version,Talk Talk,1,1986,other,"emi,parlophone","mark hollis,tim friese-greene",tim friese-greene
Quiet Life Japan,Quiet Life,Japan,1,1979,pop,hansa,NA,"john punter,simon napier-bell,japan"
Slippery People - Live Talking Heads,Slippery People - Live,Talking Heads,1,1983,rock,sire,NA,talking heads
Gigantic Pixies,Gigantic,Pixies,1,1988,"alt,rock",4ad,"kim deal, black francis","steve albini , gil norton "
Making Plans For Nigel XTC,Making Plans For Nigel,XTC,1,1979,"rock,punk,pop",virgin,colin moulding,steve lillywhite
Eighties Killing Joke,Eighties,Killing Joke,1,1984,punk,e.g.,"jaz coleman,paul ferguson,paul raven,kevin walker","killing joke,chris kimsey"
I Still Believe (Great Design) The Call,I Still Believe (Great Design),The Call,NA,NA,NA,NA,NA,NA
